Spots,NDG-density,NDG-moisture,LWD1,LWD2,LWD3,LWD4,LWD5,Sampling-density,Sampling-moisture,usedfortraining,rel_X (m),rel_Y (m),LWD_av,OMC,MDD,moisture_text
A1,2.031,9.3,47,66,72,75,78,,,True,0.5,0.75,71.0,7.0,1.96,slightly damp
A2,2.064,9.0,119,160,165,161,167,,,True,1.5,0.75,162.0,7.0,1.96,slightly damp
A3,2.096,9.2,61,74,78,82,84,,,True,2.5,0.75,78.0,7.0,1.96,slightly damp
A4,2.099,8.8,31,50,56,58,61,,,True,3.5,0.75,54.666666666666664,7.0,1.96,slightly damp
A5,2.08,8.8,31,54,66,68,69,,,True,4.5,0.75,62.666666666666664,7.0,1.96,slightly damp
A6,2.129,9.0,62,76,80,84,87,2.13,6.9,True,5.5,0.75,80.0,7.0,1.96,slightly damp
A7,2.122,9.1,44,61,67,70,78,,,True,6.5,0.75,66.0,7.0,1.96,slightly damp
A8,2.15,9.3,30,45,49,53,52,,,True,7.5,0.75,49.0,7.0,1.96,slightly damp
A9,2.123,8.7,44,50,52,53,54,,,True,8.5,0.75,51.666666666666664,7.0,1.96,slightly damp
B1,1.931,8.7,35,52,56,59,61,,,False,0.5,2.25,55.666666666666664,7.0,1.96,slightly damp
B2,2.104,8.7,37,44,48,50,52,,,False,1.5,2.25,47.333333333333336,7.0,1.96,slightly damp
B3,2.043,9.0,114,132,125,128,128,,,False,2.5,2.25,128.33333333333334,7.0,1.96,slightly damp
B4,2.145,8.8,61,66,69,71,74,,,False,3.5,2.25,68.66666666666667,7.0,1.96,slightly damp
B5,2.136,9.9,35,59,66,68,71,,,False,4.5,2.25,64.33333333333333,7.0,1.96,slightly damp
B6,2.151,9.2,38,56,61,65,67,,,False,5.5,2.25,60.666666666666664,7.0,1.96,slightly damp
B7,2.161,9.5,50,54,58,60,60,,,False,6.5,2.25,57.333333333333336,7.0,1.96,slightly damp
B8,2.15,9.2,70,88,98,100,102,2.13,6.4,False,7.5,2.25,95.33333333333331,7.0,1.96,slightly damp
B9,2.129,8.6,28,46,53,53,55,,,False,8.5,2.25,50.666666666666664,7.0,1.96,slightly damp
C1,1.996,8.8,15,34,39,41,46,,,False,0.5,3.75,38.0,7.0,1.96,slightly damp
C2,2.088,8.9,18,39,45,48,50,,,False,1.5,3.75,44.0,7.0,1.96,slightly damp
C3,2.143,9.5,84,86,87,88,92,,,False,2.5,3.75,87.0,7.0,1.96,slightly damp
C4,2.101,9.7,29,50,56,57,60,2.07,6.9,False,3.5,3.75,54.333333333333336,7.0,1.96,slightly damp
C5,2.115,8.9,26,43,48,50,52,,,False,4.5,3.75,47.0,7.0,1.96,slightly damp
C6,2.124,9.0,30,57,61,65,66,,,False,5.5,3.75,61.0,7.0,1.96,slightly damp
C7,2.12,9.1,29,43,47,49,50,,,False,6.5,3.75,46.333333333333336,7.0,1.96,slightly damp
C8,2.095,9.6,41,43,45,46,46,,,False,7.5,3.75,44.666666666666664,7.0,1.96,slightly damp
C9,2.161,8.9,46,71,77,77,79,,,False,8.5,3.75,75.0,7.0,1.96,slightly damp
